Node_ID,Routing_Update_Frequency,Routing_Table_Consistency,Route_Stability,Route_Convergence_Time,Route_Error_Rate,Route_Preference,Neighbor_Trustworthiness,Packet_Inspection,Historical_Behavior,Malicious_Node
16,High,0.6095643339798968,0.5026790232288615,0.05147875124998935,0.27864646423661144,Preferred,Low,Full,Average,0
17,Medium,0.2420552715115004,0.6721355474058786,0.7616196153287176,0.23763754399239967,Not Preferred,Medium,None,Average,1
18,Low,0.15071754396542947,0.5081987767407187,0.6958128067908819,0.8583588048137198,Not Preferred,High,Partial,Bad,1
19,High,0.17436642900499144,0.690937738102466,0.3867353463005374,0.9367299887367345,Preferred,High,None,Good,0
20,Medium,0.2579416277151556,0.659984046034179,0.8172222002012158,0.5552008115994623,Preferred,Medium,None,Average,1
21,High,0.18870710834137938,0.2788713525921819,0.7003578299727713,0.8466611422383059,Neutral,Low,Full,Good,0
22,Medium,0.009197051616629648,0.1014715428660321,0.6635017691080558,0.005061583846218687,Neutral,Medium,Partial,Average,0
23,Low,0.018075363615520867,0.4938937151834346,0.1788227092213288,0.3664687845828599,Not Preferred,High,None,Good,1
24,Medium,0.26520236768172545,0.24398964337908358,0.9730105547524456,0.3930977246667604,Neutral,High,Full,Average,0
25,High,0.4925176938188639,0.1952429877980445,0.7224521152615053,0.2807723624408558,Not Preferred,Low,None,Average,1
26,High,0.7477187738974139,0.9530718470239532,0.3307503046705137,0.5527649668354899,Not Preferred,High,None,Bad,0
27,Low,0.31692200515627766,0.1694927466860925,0.5568012624583502,0.936154774160781,Neutral,High,Partial,Average,1
28,Medium,0.25416364906973876,0.29529058841893874,0.3225507642386005,0.8486697949246744,Preferred,High,Partial,Bad,0
29,High,0.25620694359445806,0.6115137108656805,0.08159418040024036,0.005184862773986776,Preferred,Low,Partial,Average,1
30,Medium,0.093981939840869,0.578280140996174,0.035942273796742086,0.49516754362273674,Not Preferred,Medium,None,Average,1
31,Medium,0.8226005606596583,0.3601906414112629,0.12706051265188478,0.5222432600548044,Preferred,Low,Full,Average,0
32,High,0.6995122107671938,0.13835309241780136,0.1327454222429698,0.969536867114159,Neutral,Medium,Full,Good,0
33,Medium,0.07845638134226596,0.02535074341545751,0.9626484146779251,0.8359801205122058,Preferred,Low,None,Average,1
34,Medium,0.09387329008129175,0.18286599710730733,0.9346139973397097,0.6382705938433504,Preferred,High,Full,Good,1
35,Medium,0.3559726786512616,0.7578461104643691,0.014393488629755868,0.11607264050691624,Preferred,High,None,Average,1
36,Medium,0.7633644230039109,0.8069129770507795,0.3463043210894008,0.4646738129396114,Preferred,High,Partial,Average,1
37,High,0.01530454029038475,0.933436308079483,0.5010398839152592,0.5393774484000625,Preferred,High,Partial,Good,1
38,Medium,0.5733670416719333,0.12850035323391018,0.811204176736003,0.8206394757439553,Not Preferred,Low,None,Average,0
39,High,0.37725908322797586,0.03896313231023363,0.6182538843378929,0.3365542148887265,Neutral,Low,Partial,Average,0
40,Low,0.4960374542934062,0.6928903586919394,0.34833660445319736,0.9366481518557073,Preferred,Low,None,Good,1
41,High,0.9905051420006733,0.4126176769114265,0.37201808579278317,0.7764129607419968,Not Preferred,Medium,None,Good,1
42,High,0.49580301660687576,0.9025529066795667,0.5052523724478571,0.8264574661077416,Neutral,Low,Full,Bad,0
43,High,0.09128667678613356,0.31931363759041487,0.9500619670508049,0.9506071469375561,Not Preferred,Medium,Full,Good,0
44,High,0.21272789502422895,0.9461945428816902,0.49867035038227736,0.11346460201744801,Preferred,Medium,Partial,Bad,1
45,High,0.5459157701649889,0.7058314838786945,0.9686519439741349,0.6880300101750391,Neutral,Low,None,Average,0
46,Medium,0.39665160195425186,0.8918969087767766,0.1466048216920255,0.5133261686923929,Neutral,High,None,Good,1
47,High,0.9860010638228709,0.7533781852589416,0.37625958553091576,0.08350071669866876,Preferred,Medium,Full,Bad,0
48,Medium,0.49262510429085915,0.011353644767419069,0.46866064199412627,0.05630327568183735,Preferred,High,None,Bad,1
49,Medium,0.49580301660687576,0.47771489088022767,0.08289132169335423,0.5283701212972092,Preferred,Medium,Partial,Good,1
50,Medium,0.924643330223596,0.9191157152786594,0.2529901679892411,0.6954111231066475,Preferred,Medium,Full,Good,0
51,Low,0.6275580800840634,0.5843143119231002,0.901158010490989,0.04544638034145787,Neutral,Medium,None,Average,0
52,Medium,0.22939474570494967,0.26593792496423896,0.36034509520526825,0.2599498628542627,Not Preferred,Medium,Full,Good,0
53,Low,0.6847311725538793,0.5067658465262576,0.9109271844938425,0.822537242923169,Neutral,High,None,Bad,1
54,Medium,0.55158787254407,0.16483426113700095,0.41125511658536906,0.7776022837352256,Neutral,High,None,Bad,1
55,Medium,0.8291642207065144,0.5690814691657476,0.06351182959000135,0.03682186763599138,Not Preferred,Low,None,Bad,1
56,High,0.7499107494699718,0.9131657522576428,0.585149532325472,0.7261208440718481,Neutral,Medium,Full,Good,0
57,Low,0.9540510272587224,0.60617463445088,0.22864280550346272,0.6717006844058567,Neutral,High,Full,Average,0
58,High,0.5201635011119934,0.8521815003185401,0.49867035038227736,0.5609379715353863,Neutral,High,None,Good,0
59,Low,0.6203095513534647,0.7040797680992236,0.21296416150891073,0.13637147558676976,Neutral,Medium,Partial,Average,1
60,High,0.9041586944937484,0.34825546702330035,0.5139894891598108,0.7836530127411431,Neutral,High,Partial,Bad,1
61,Medium,0.9265876251614944,0.4921162930795382,0.25824438829895835,0.4591357562382613,Neutral,Medium,None,Average,0
62,High,0.07586332810866392,0.12887972191064923,0.12804583895777244,0.15190269351229435,Neutral,Low,Full,Bad,1
63,Low,0.19228901880867078,0.04086861626647886,0.16893506307216455,0.2785903390319586,Preferred,Medium,None,Average,0
64,Medium,0.8942172628959257,0.1287483982996439,0.3300995133101554,0.321582764680029,Neutral,Low,Full,Good,1
65,High,0.9208724005318132,0.06107795985486375,0.2768776481472037,0.8062012797930613,Preferred,High,None,Bad,1
66,Medium,0.618254771530296,0.3689136395697724,0.4625347161331479,0.7474709381337565,Neutral,High,Full,Bad,1
67,High,0.5321134852653157,0.10717201133977605,0.44741236682345464,0.5326172664550232,Not Preferred,Low,Full,Good,0
68,Low,0.21144800699654465,0.32749735217791465,0.49867035038227736,0.890527280739895,Preferred,Medium,Full,Good,0
69,Medium,0.5868411180208791,0.74543947418433,0.4316595462296794,0.12758030279556376,Preferred,Low,Partial,Average,1
70,High,0.9865152487929797,0.6057748193568872,0.23722679173599448,0.10178247262040374,Neutral,Medium,Full,Average,0
71,High,0.05565348935697534,0.8423140352981816,0.051635477874512836,0.018242481428361046,Preferred,High,Partial,Average,1
72,High,0.8170720709492799,0.25790282704493983,0.17088758739006582,0.668643219924431,Preferred,Medium,Full,Bad,1
73,Low,0.18704374855752337,0.5067658465262576,0.4254364386164168,0.507610378684455,Preferred,High,None,Average,1
74,High,0.9320143422569341,0.3206421921595143,0.5938830975578988,0.3692304815098961,Neutral,Low,Full,Average,1
75,Medium,0.08786811124265681,0.13882477344202038,0.0027108994143296705,0.11669606414168132,Not Preferred,Medium,Full,Bad,0
76,Medium,0.7459745255487181,0.4085182929359169,0.9329380670999546,0.9909294764573906,Neutral,High,Full,Good,1
77,Low,0.1397723766262895,0.7952673118598902,0.20162732004774453,0.1636559428657045,Preferred,Low,None,Bad,1
78,Low,0.8772005408131083,0.3924451074226354,0.8165994394715771,0.4391349085702184,Neutral,High,None,Average,1
79,Low,0.2322126951468173,0.8995745732745685,0.3838912213732114,0.5435528611139886,Not Preferred,High,Full,Average,1
80,Medium,0.13927207266338726,0.794025189270296,0.6200727559285135,0.5334610919763215,Not Preferred,High,None,Average,1
81,High,0.743946292572677,0.03353243473577938,0.5698896848713165,0.7624586857406905,Not Preferred,Medium,None,Average,1
82,Low,0.12748866233198242,0.39728729056036727,0.7972953657795536,0.14991742734877378,Not Preferred,Low,Partial,Bad,1
83,Medium,0.25179905890695276,0.34569599350391944,0.18159771680142567,0.9084505613336283,Neutral,Medium,Full,Bad,0
84,Medium,0.5862298320167972,0.505888678884466,0.6114542354346478,0.01811018382084051,Not Preferred,Low,None,Bad,0
85,Medium,0.06892153936721879,0.07732106548878726,0.1042469660518095,0.8404396319804229,Not Preferred,High,None,Average,0
86,Medium,0.8374907890024921,0.33214641265493894,0.3114442640456412,0.22739562087711263,Not Preferred,Low,Full,Good,1
87,Low,0.004632023004602859,0.3334991716911442,0.3981686935909433,0.5373956029379229,Not Preferred,Medium,Partial,Bad,0
88,Low,0.5870682241365672,0.03284667024343835,0.9127494628791288,0.2482264427571519,Preferred,High,Partial,Good,1
89,High,0.2775871726294181,0.22009721408109706,0.21268078434122628,0.5151736824068126,Preferred,Low,None,Average,1
90,Low,0.29959591176647704,0.3099369262686109,0.3973181154575979,0.4267889053367494,Not Preferred,Medium,Partial,Good,1
91,High,0.06570863942835237,0.7755276166950106,0.4532888347480276,0.52439026932758,Preferred,Medium,Partial,Average,1
92,Low,0.07550336380388922,0.7532462207474508,0.27230185472029944,0.8974304098188842,Neutral,Low,Full,Bad,0
93,Low,0.4079844953648447,0.5517225952593398,0.2538885640433043,0.1961130996934528,Not Preferred,Low,Partial,Good,1
94,Low,0.5567215847833661,0.7208130963105066,0.8053149673579051,0.9887287819554428,Neutral,High,None,Average,0
95,Medium,0.013001923510736035,0.08550853085446808,0.20788625514602732,0.026532203873819715,Preferred,High,None,Average,1
96,High,0.2594234334312925,0.3796924081672669,0.5902949425148077,0.26806364082287626,Preferred,Low,Partial,Average,0
97,High,0.9484533069621567,0.7636057941597608,0.14011317576645255,0.8684679758979128,Not Preferred,Medium,Full,Good,0
98,Low,0.5416342146608669,0.6334782198261473,0.2578876854332023,0.13935607407282413,Not Preferred,Medium,Partial,Average,1
99,Low,0.018390676547466733,0.914298806560499,0.11775108289014113,0.5765164755142536,Neutral,Medium,None,Good,1
100,High,0.10657873012867436,0.140018538660449,0.26368380263461644,0.2664983933708822,Not Preferred,Medium,None,Good,0
101,Low,0.4187705248920731,0.38313852824949746,0.5189177052828375,0.046965966775055046,Neutral,High,None,Bad,0
102,Low,0.38929561404197655,0.28869373677069987,0.35567271646494913,0.7190459051842455,Not Preferred,High,Partial,Average,0
103,Medium,0.7325720972102503,0.21494037859075676,0.031183135061284672,0.2622640442998251,Not Preferred,High,None,Average,1
104,Low,0.7709122037458219,0.5067658465262576,0.07513778173580876,0.7281887562036033,Preferred,Low,Full,Average,0
105,Low,0.0023393906257782593,0.9676993882070865,0.005253818558384915,0.10309374601374488,Preferred,High,Full,Good,0
106,High,0.5213006674135694,0.0867052118621836,0.9581707930039304,0.7583924139456815,Not Preferred,Low,None,Bad,1
107,Low,0.9033638126360249,0.6466649191171634,0.6931752114569247,0.05159580665871,Neutral,High,Partial,Bad,1
108,Medium,0.9154882975880418,0.03394597858579884,0.6974202672468399,0.29734900737255077,Neutral,High,Full,Good,0
109,High,0.4551436850361561,0.5224345760711689,0.6445466506258222,0.6501673504432282,Not Preferred,Low,Partial,Bad,1
110,High,0.40448544968185074,0.5724277594334657,0.8039769794008976,0.5384014903807876,Neutral,Low,None,Average,1
111,Medium,0.49580301660687576,0.4619428505755876,0.9903413133417771,0.0002375235758845795,Preferred,Low,Partial,Bad,0
112,Medium,0.08854341061361815,0.03759677320626087,0.47978132685650476,0.5807572072273277,Not Preferred,Low,Partial,Average,0
113,Low,0.7322718071846451,0.5067658465262576,0.4673107665376526,0.2970028764548822,Neutral,Medium,Partial,Good,0
114,High,0.42777313373586234,0.3843266471596817,0.6796472826930698,0.21825388786506417,Neutral,Low,None,Good,0
115,High,0.9447320222914103,0.4674015112498697,0.6134113892107077,0.16703394609207523,Not Preferred,Low,Full,Average,1
116,Medium,0.046945357147813005,0.38409061149124957,0.036731937426613626,0.9572702629833256,Neutral,Low,None,Average,1
117,High,0.597274072430341,0.5250315008602682,0.2602333679515273,0.5152479243147259,Neutral,Medium,None,Bad,1
118,Low,0.5369744228934136,0.5929399348417032,0.5800862078378112,0.09148683739775487,Preferred,High,Full,Good,1
119,Medium,0.8095160747248781,0.6552419806390217,0.5508573706091393,0.08698675991141014,Not Preferred,Medium,Full,Good,0
120,Low,0.22018320194981134,0.6832587636595959,0.07613085949030018,0.8512069140487687,Preferred,Medium,None,Bad,1
121,Medium,0.5437789079973993,0.8644928803073485,0.7339099189537017,0.5212603121804149,Preferred,High,Full,Good,0
122,Low,0.6801407717603004,0.6186113782151843,0.7527166395576412,0.1586051052930737,Not Preferred,Low,Partial,Good,0
123,Medium,0.8199469174081001,0.22862516152492351,0.9087013092693679,0.001120111480109487,Neutral,Medium,None,Good,0
124,Low,0.6169269183757422,0.9811861780274235,0.6318135270166684,0.2598035810641598,Preferred,High,Partial,Bad,1
125,Medium,0.3418721660386861,0.6326218931339481,0.9320281055100175,0.10250972799067926,Neutral,High,None,Average,1
126,Medium,0.49580301660687576,0.04574203381251285,0.8715368061523763,0.9734889691773969,Preferred,High,Full,Good,0
127,Medium,0.3718335292387246,0.8187856433570937,0.2525087496883822,0.0010294798456333965,Neutral,Medium,Partial,Good,1
128,Low,0.16362382119166918,0.7948095487499294,0.6936822257814886,0.2207696127887604,Neutral,High,Partial,Average,0
129,Medium,0.15105789178090023,0.4323348010426019,0.9436159201675989,0.4197273169261223,Not Preferred,Medium,Full,Good,0
130,Medium,0.8940992036791344,0.22995460589108618,0.2131047040250833,0.03113408288451136,Preferred,Medium,Full,Bad,1
131,Low,0.09116449040619168,0.15365803816111268,0.45369363460528267,0.5303543937282561,Not Preferred,High,None,Good,1
132,Medium,0.46209729076566064,0.0012318351664258875,0.598327265122427,0.6073064482626712,Preferred,Medium,None,Bad,1
133,Medium,0.7975591006371882,0.31036195892357377,0.4552201490818012,0.011620539908100636,Neutral,Medium,Partial,Average,1
134,High,0.6949818861265425,0.8601223971892046,0.7798509888933498,0.039618825348357145,Neutral,High,None,Good,0
135,High,0.49888815345135606,0.6181557343181191,0.702464970544104,0.5596486834869141,Neutral,Low,Partial,Good,0
136,Low,0.8245140468968338,0.35780135092827137,0.32209470221933534,0.49516754362273674,Neutral,Medium,Partial,Average,1
137,Low,0.951549974355327,0.12421996672805935,0.8962213026850383,0.5947766373769361,Preferred,High,Full,Good,1
138,Medium,0.6253046602139478,0.7834227259416147,0.612257985881158,0.4843984475740406,Not Preferred,Medium,Partial,Average,0
139,Low,0.16399948098949724,0.4386072164895384,0.7248265598740583,0.5932786483101787,Preferred,Low,None,Bad,0
140,Low,0.18211791568869928,0.7896985071424791,0.6587077755008761,0.498195716453139,Neutral,Medium,Partial,Bad,0
141,Low,0.49327684678379957,0.0815264895524267,0.4032613611238318,0.22056112492232327,Neutral,High,Full,Good,1
142,Low,0.727169069766308,0.742706521199981,0.42549333444807536,0.3459349925469629,Neutral,Medium,None,Bad,1
143,Low,0.39551516984901525,0.6061887135611715,0.5977235652558643,0.7929560946056315,Not Preferred,Medium,Full,Bad,0
144,High,0.6229665835634828,0.6315602200925206,0.733113022415281,0.1315676851272598,Neutral,High,Partial,Average,1
145,Low,0.06913278618661944,0.43716538881682654,0.09739339255355217,0.4050207990803215,Neutral,High,None,Average,0
146,Low,0.9694123223352875,0.5067658465262576,0.6567366645412922,0.3251900642246949,Preferred,High,Full,Bad,0
147,Medium,0.49580301660687576,0.6693904014593614,0.1457565682447517,0.4494338352137377,Not Preferred,Low,None,Average,0
148,High,0.6638045276218051,0.4746308757498139,0.8441704489691971,0.8056701529500532,Not Preferred,High,Partial,Bad,0
149,Medium,0.12297080852962672,0.2311309124276466,0.05169683724152696,0.6400029668369137,Not Preferred,Medium,None,Good,0
150,High,0.0415728590503921,0.14834320096208886,0.9866301229588469,0.9651186964360455,Not Preferred,Medium,Partial,Good,1
151,High,0.25422457989749325,0.5217300466362131,0.34265348812091534,0.5322449888262991,Not Preferred,Medium,None,Average,0
152,Medium,0.18834908376560144,0.7308294748708763,0.15616384479217393,0.23456129333482867,Not Preferred,Medium,Full,Average,1
153,High,0.6832480282896458,0.4971747640084273,0.6178472402012138,0.8689049844787182,Preferred,High,None,Average,1
154,High,0.6588854702326572,0.3938644056541585,0.6512329770414921,0.10659303030799072,Neutral,Medium,Partial,Bad,1
155,Low,0.7823854840582735,0.5670162609866678,0.7384492092513265,0.8785155613013479,Preferred,Medium,Partial,Average,0
156,Low,0.7978136488586345,0.435583314812933,0.8178342161750216,0.12020905537060844,Neutral,High,None,Good,0
157,High,0.5634389273484588,0.3804197042327977,0.5484997216514768,0.5964854749854216,Preferred,High,Partial,Average,1
158,Medium,0.6194903460096145,0.46349404380057235,0.3797857801792298,0.8633336495718252,Neutral,Medium,None,Good,0
159,Medium,0.5266237972689596,0.24606965879799825,0.47669547504115917,0.3943653238183502,Not Preferred,Medium,Partial,Average,1
160,Low,0.1957779856835461,0.00756287497814212,0.647474714154603,0.8980305489499869,Preferred,High,Full,Bad,0
161,High,0.10142082844921652,0.5067658465262576,0.25677656772050794,0.28487290196192283,Not Preferred,Low,Full,Bad,1
162,Medium,0.3999052068041562,0.9767252386625789,0.8231740155956603,0.5224810405161183,Not Preferred,High,Partial,Bad,1
163,Low,0.5673122196289035,0.25656278370136376,0.9629268752375798,0.4835456467199247,Not Preferred,Medium,None,Good,1
164,High,0.6379852057932976,0.5151751703337316,0.5935385691231472,0.7937438503805163,Not Preferred,Medium,Partial,Good,1
165,Low,0.23687055897448206,0.7805255152438618,0.2748060355481361,0.8226143185136784,Not Preferred,Medium,None,Average,1
166,High,0.5866084631754741,0.16801420774486342,0.7368737449441821,0.8627970775432285,Not Preferred,Low,None,Average,0
167,High,0.54669741271407,0.23194709611597542,0.39090599590551467,0.594476335186173,Neutral,Low,Partial,Bad,1
168,Medium,0.42819961492561476,0.7175977656581762,0.6924361513243696,0.9912559937021883,Neutral,High,Partial,Average,1
169,Medium,0.2648954472367334,0.6452898375257169,0.5957507281889567,0.4011879140389827,Preferred,High,Partial,Good,1
170,Medium,0.6696026161339619,0.06993160570943413,0.6401682238281661,0.2711474365001848,Neutral,High,Partial,Good,0
171,Medium,0.9941393612211675,0.6618391898493786,0.5577834173700249,0.7306505102392461,Neutral,Medium,Partial,Good,0
172,Low,0.17047793817391754,0.4094778530052039,0.42268911339618953,0.8218064439010868,Preferred,High,Partial,Good,0
173,Medium,0.9924835021583752,0.9270009679242953,0.5399571302805596,0.8420332943764213,Preferred,Medium,Partial,Average,1
174,Low,0.8260676302525284,0.7820280876703859,0.49867035038227736,0.036160380524762115,Preferred,High,Partial,Good,0
175,Low,0.5538022407123763,0.30552431065802355,0.3969815170742834,0.44720254050483565,Neutral,High,Partial,Bad,1
176,Low,0.3910427630581744,0.5011529991820097,0.39717877742921104,0.5397326187599428,Preferred,High,Partial,Average,1
177,High,0.3046791390980408,0.08091928305125218,0.40298017876516146,0.17352451498650867,Neutral,High,Partial,Average,1
178,Low,0.5751633504966249,0.4793544401378518,0.31372769119409605,0.6063709444333756,Preferred,Medium,Partial,Average,0
179,Low,0.8252007674155681,0.6663068858350397,0.12176191112527479,0.4782340230480723,Preferred,High,None,Good,1
180,Low,0.10566468426174391,0.6408263146902062,0.2160381825095996,0.6195879548978296,Not Preferred,High,Full,Bad,1
181,Low,0.05816379550547579,0.9948663171697671,0.05778056099636664,0.6950352288585532,Preferred,High,Full,Good,0
182,Medium,0.2653874091881946,0.1777663878512482,0.6916180555693193,0.618051674287186,Not Preferred,Low,None,Bad,0
183,Medium,0.4260833838903715,0.13071037674019947,0.8866042152404667,0.4497846488213225,Preferred,High,Full,Bad,0
184,Low,0.3870787603356308,0.963822275482351,0.24858025771494208,0.13380373627948872,Preferred,Medium,Partial,Bad,1
185,High,0.6189481930077215,0.32350039491147375,0.8343033659547675,0.6292988060107362,Preferred,Medium,None,Good,0
186,Low,0.547959488973693,0.4543773345599609,0.844357082739616,0.09808258078424459,Neutral,Medium,Partial,Average,0
187,Low,0.49580301660687576,0.7850165438370569,0.8920846889402344,0.9553346865039283,Preferred,Low,None,Good,1
188,Medium,0.9303188848378237,0.25305843280078455,0.7811704237869193,0.8251321959287038,Not Preferred,Medium,Full,Average,1
189,High,0.5184080219452041,0.15016900081704165,0.7374337687214856,0.49516754362273674,Preferred,Low,None,Bad,1
190,High,0.01210847523488745,0.9565013982994801,0.737508359459007,0.35325140850206416,Neutral,High,Full,Bad,1
191,High,0.4121309302627716,0.5496160437189245,0.8305344564048399,0.06871283251826776,Neutral,Medium,Full,Good,0
192,Low,0.9759908495987925,0.5067658465262576,0.010427699397403067,0.2554134846852195,Neutral,Low,None,Good,1
193,Medium,0.7987141916545746,0.29282203670096474,0.9799703293588506,0.6018815896363221,Preferred,High,Partial,Bad,0
194,Medium,0.22461561184385193,0.3721670238375133,0.432076882944196,0.4394049896944522,Preferred,Medium,Partial,Average,1
195,High,0.8869249002092695,0.645810812655206,0.28590678923916013,0.8159469389686173,Not Preferred,High,None,Good,1
196,Medium,0.46053949727414,0.8419985528900615,0.7284906771616132,0.7764474464997246,Not Preferred,Medium,Partial,Bad,0
197,Low,0.16481481572943713,0.1317287734545619,0.7259799099852955,0.8177853298569451,Not Preferred,High,Full,Bad,1
198,High,0.7581850110765374,0.7434237860766093,0.611940505337331,0.10593071255849296,Not Preferred,Low,Partial,Bad,1
199,Low,0.160071634954573,0.4615574744197899,0.009331619827093296,0.24667886452162302,Preferred,High,None,Bad,0
200,High,0.31092893000755417,0.5067658465262576,0.8151183844803679,0.6149782403411324,Neutral,Low,None,Good,1
201,Medium,0.03531135494023907,0.7457337827312321,0.2024805601652374,0.9580734801193802,Preferred,High,Full,Bad,0
202,Low,0.12471405691139048,0.3853758830473618,0.49867035038227736,0.7803997761472745,Neutral,High,Partial,Good,1
203,Low,0.029071380343953734,0.16688511785487092,0.18131927992550523,0.49516754362273674,Preferred,High,Full,Good,1
204,Medium,0.5614845879595237,0.5067658465262576,0.6034876665964548,0.6764679372263622,Neutral,High,Full,Bad,0
205,Low,0.7459252088136745,0.9819691904461453,0.20984199485640942,0.8251306676661152,Not Preferred,Low,Partial,Bad,1
206,High,0.22061195271121126,0.5982252940637388,0.7356631142391898,0.9983475113929496,Neutral,Low,None,Good,1
207,High,0.11833619092338732,0.40990488969628824,0.8398022856356172,0.383832951933044,Preferred,Medium,None,Good,1
208,High,0.026196708532064794,0.024191763891355245,0.8316970436757735,0.2730708099728124,Preferred,High,None,Bad,1
209,Medium,0.22554132992573261,0.37691416473637196,0.49867035038227736,0.48090600075306966,Preferred,Medium,None,Average,1
210,Medium,0.9093901920083962,0.7802130634301023,0.007029203813619156,0.49516754362273674,Neutral,Low,Full,Good,1
211,Medium,0.28218707469320015,0.26170568373590597,0.24697879907199982,0.9062545805210367,Neutral,Medium,Full,Average,1
212,Low,0.4875711936733843,0.03361360018328263,0.49867035038227736,0.906437453344411,Preferred,Low,Partial,Good,1
213,Medium,0.7324487318380898,0.5483205837264242,0.1279882085335864,0.8821356142820601,Preferred,Medium,Partial,Average,1
214,Medium,0.49580301660687576,0.7251557275511148,0.191190701464789,0.3382631053323484,Not Preferred,Low,None,Good,0
215,High,0.250966661340298,0.8506160578411378,0.5612227882825249,0.5233909113743664,Preferred,Low,Partial,Average,1
216,Low,0.5435382173426461,0.08172534574677826,0.45830064152865646,0.484696287130047,Preferred,Low,Partial,Average,1
217,Medium,0.8619869084042723,0.46016226448843967,0.7492837126957764,0.2905875598063551,Not Preferred,Medium,Full,Average,1
218,Low,0.2013637821359744,0.2586208348880388,0.1647063534322959,0.33021506487149754,Neutral,Medium,Full,Good,1
219,Medium,0.23879621138153928,0.4512393441809881,0.9849896561408751,0.7720124763099904,Not Preferred,Medium,None,Average,0
220,Medium,0.4978125080342902,0.10547369995663058,0.656780104724294,0.8221031606002255,Neutral,High,Full,Good,1
221,Medium,0.09403610443426635,0.35667097414176474,0.7574818847894174,0.27644169058339607,Not Preferred,Low,Full,Bad,1
222,Medium,0.44760294032021697,0.5578201919292014,0.16603431341619546,0.6134731386391763,Preferred,High,Full,Average,0
223,Low,0.03338360178638122,0.36369312475614024,0.7326352347008328,0.8203775074489733,Preferred,Medium,Partial,Average,0
224,High,0.5052067735766382,0.9671266152591704,0.4177609792750997,0.9841103190364978,Preferred,Medium,None,Average,0
225,High,0.6561340180205807,0.12982644895171758,0.6868609976750291,0.0930304864600272,Preferred,Medium,Partial,Average,0
226,Low,0.29648978128331527,0.9182079996227752,0.11074844531895811,0.7595824101146318,Preferred,High,Partial,Bad,1
227,Medium,0.8192551048714611,0.8798219139516953,0.5254349125456929,0.24433994078646615,Neutral,Medium,None,Good,0
228,High,0.45035097890541265,0.7488263369633065,0.6511475848816741,0.6209285674784312,Neutral,Low,None,Bad,1
229,Low,0.12626474156450274,0.676177562075434,0.325104015431699,0.6863271966860974,Not Preferred,High,Partial,Good,1
230,High,0.27927608845441043,0.6428819100587077,0.694150573509831,0.5126547531450529,Neutral,High,Full,Good,0
231,Medium,0.7592487330608428,0.9036078443467951,0.23276314710128876,0.8073960303399513,Preferred,High,Partial,Bad,1
232,High,0.1690810703559925,0.3897593874264921,0.3795029033747186,0.22673038292351066,Preferred,Medium,Full,Bad,1
233,Low,0.04202467517140529,0.7399041207669304,0.9180765521991506,0.28003732955048943,Preferred,High,Partial,Bad,1
234,Low,0.49580301660687576,0.7266709920703233,0.3047510953861333,0.8293946648588469,Not Preferred,High,Partial,Average,0
235,Medium,0.046123564335733835,0.5671707799193856,0.2838284470235203,0.8245348080870322,Preferred,High,None,Bad,1
236,High,0.9028949951919872,0.8522638743911815,0.6678046832264065,0.5932215701073843,Preferred,High,Full,Bad,1
237,Medium,0.4291825933963569,0.26777667548833417,0.7891608465887314,0.573349345635218,Preferred,Low,None,Bad,0
238,Low,0.9096268194365924,0.6692002629380784,0.8292867993167555,0.8789789002822673,Preferred,Low,Full,Bad,0
239,Medium,0.7738796557301564,0.6019234310151316,0.8925232899548461,0.4433800143791877,Preferred,High,Partial,Good,1
